"group_id","group_name","start_year","end_year","active","complete","description","on_any_map","page_url","old_description","last_updated","first_attack","last_attack","init_size_members","init_size_year","min_size_members","min_size_year","max_size_members","max_size_year","founding_city","founding_province","founding_country","founding_notes","us_designated","un_designated","other_designated","other_designated_names","state_sponsor","state_sponsor_names","Notes"
221,"Jamaat-ud-Dawa",2002,0,1,0,"Jamaat-ud-Dawa is the front organization of Lashkar-e-Taiba (LeT) formed in 2002 after LeT was banned by the Government of Pakistan. LeT was formed in 1990 as a militant branch of the Ahle-Hadith organization, Markaz-ad-Dawa-wal-Irshad (MDI).  LeT's first notable attack took place in Jammu on a Kahsmiri pandits in 1993. According to Indian and US government sources, LeT over the years has received instruction and funding from Pakistan's intelligence agency, Inter-Services Intelligence (ISI). Pakistan's government, however, denies any such support to LeT. In November 2008, LeT carried out coordinated attacks on multiple targets in Mumbai, India, killing 180 and injuring more than 200.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"Hizb-ul-Mujahideen",1989,0,1,0,"Hizb-ul-Mujahideen is a Kashmir based militant group. Founded in 1989, the group has sought to liberate the disputed Jammu and Kashmir region. It has enjoyed the backing of Pakistan's Inter Services Intelligence since its formation. The group is currently led by famous jihadi leader Syed Salahuddin.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,"Liberation Tigers of Tamil Elam",1972,2009,0,1,"The Liberation Tigers of Tamil Eelam (LTTE) were a militant separatist group fighting for an independent homeland for Hindu Tamils in Northeastern Sri Lanka. The LTTE was founded in the early 1970s by Velupillai Prabhakaran, who led the group until his death by Sri Lankan armed forces in May 2009. During the 1980s, the LTTE defeated a number of different Tamil militant groups, emerging as the dominant group by the end of the decade. The LTTE successfully carried out a number of high-profile attacks, including the assassination of two heads of state. The LTTE were  also notorious for their use of suicide terrorism, perpetrated by their elite suicide bombing unit known as the Black Tigers. Starting in 1985, the LTTE began negotiations with the Sri Lankan government; however, multiple rounds of negotiations failed and were interrupted by bouts of violence and clashes between both sides. In March 2004, a large faction of the LTTE led by Colonel Karuna defected, significantly weakening the organization. In 2006, after another failed round of negotiations, the Sri Lankan government declared all-out war on the LTTE and the group was militarily defeated in May 2009.    ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/liberation-tigers-tamil-elam","The Liberation Tigers of Tamil Eelam (LTTE) were a militant separatist group fighting for an independent homeland for Hindu Tamils in Northeastern Sri Lanka. The LTTE was founded in the early 1970s by Velupillai Prabhakaran, who led the group until his death by Sri Lankan armed forces in May 2009. During the 1980s, the LTTE defeated a number of different Tamil militant groups, emerging as the dominant group by the end of the decade. The LTTE successfully carried out a number of high-profile attacks, including the assassination of two heads of state. The LTTE were also notorious for their use of suicide terrorism, perpetrated by their elite suicide bombing unit known as the Black Tigers. Starting in 1985, the LTTE began negotiations with the Sri Lankan government; however, multiple rounds of negotiations failed and were interrupted by bouts of violence and clashes between both sides. In March 2004, a large faction of the LTTE led by Colonel Karuna defected, significantly weakening the organization. In 2006, after another failed round of negotiations, the Sri Lankan government declared all-out war on the LTTE and the group was militarily defeated in May 2009.","07/00/2015","05/14/1985","05/09/2009","6000","2002","3000",2007,"18000",2004,"Anaradhapura","","Sri Lanka","first attack location",1,0,1,"India, UK, EU, Canada, Malaysia designated",1,"India",""
226,"March 28 Brigade",1979,1980,0,0,"March 28 Brigade was a Milan-based left-wing terrorist group. It formed in 1979 as Red Guerrilla but changed its name to March 28 Brigade in response to the death of four Red Brigades militants in a firefight with Italian military police on March 28, 1980. The new group comprised former members of other left-wing groups, principally Communist Combat Formations (FCC), Communist Combat Units (UCC), and Communist Brigades (BC). March 28 Brigade militants sought to overthrow the Italian state and replace it with a dictatorship of the proletariat, and to that end hoped to gain credibility for their movement through attacks with the goal of establishing ties to the Red Brigades. It is unclear whether it succeeded; all of its members had been arrested by the end of 1980.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,"National Front",1968,1976,0,0,"National Front (FN) was one of Italy's three main neo-fascist terrorist groups established before the 1970s. It was led by Prince Junio Borghese, a military veteran and former leader of a right-wing political party. Many of its other members were also veterans who had served Italy's fascist regime and never accepted Italian democracy. The group had both defensive and offensive aims, seeking to guard against Communism as well as to provoke or stage a fascist coup. The group had deep ties to the other main right-wing groups of the period, New Order (ON) and National Vanguard (AN). Their membership overlapped and the three groups jointly planned a coup attempt, ultimately aborted, in 1970. FN dissolved and many of its members fled abroad after the group was banned by authorities in the mid-1970s. Its remnants, along with those of AN and ON, were thereafter subsumed into Black Order, another neo-fascist terrorist group.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,"National Vanguard",1959,1976,0,0,"National Vanguard (AN) was one of three main neo-fascist Italian terrorist groups to form prior to the mid-1970s, along with New Order (ON) and National Front (FN). It broke from ON in 1960 but continued to collaborate with the group. Like the other neo-fascist groups, AN sought to stage or provoke a fascist coup in Italy, and to protect Italy from a feared Communist takeover. In the longer term, AN sought to unite all of Europe into one totalitarian nation. The group had deep ties to the ON and the FN. Their membership overlapped and the three groups jointly planned a coup attempt, ultimately aborted, in 1970. AN dissolved and many of its members fled abroad after the group was banned by authorities in the mid-1970s. Its remnants, along with those of ON and FN, were afterward subsumed into another neo-fascist group, Black Order.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,"New Order",1953,1978,0,1,"The right-wing New Order (ON) was the first major terrorist group to emerge in Italy after World War II. It was a militant offshoot of right-wing parliamentary party Italian Social Movement (MSI). It sought to overthrow Italian democracy and reinstate a fascist regime. It spawned other neo-fascist terrorist groups, notably National Vanguard (AN), and along with AN and National Front (FN), it was one of the three main neo-fascist terrorist groups in post-World War II Italy. ON, AN, and FN had deep ties; their membership overlapped and they frequently collaborated on attacks, most notably an aborted coup attempt in 1970. ON dissolved when it was banned in the mid-1970s, and was thereafter subsumed into Black Order along with remnants of FN and AN.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/new-order","The right-wing New Order (ON) was the first major terrorist group to emerge in Italy after World War II. It was a militant offshoot of right-wing parliamentary party Italian Social Movement (MSI). It sought to overthrow Italian democracy and reinstate a fascist regime. It spawned other neo-fascist terrorist groups, notably National Vanguard (AN), and along with AN and National Front (FN), it was one of the three main neo-fascist terrorist groups in post-World War II Italy. ON, AN, and FN had deep ties; their membership overlapped and they frequently collaborated on attacks, most notably an aborted coup attempt in 1970. ON dissolved when it was banned in the mid-1970s, and was thereafter subsumed into Black Order along with remnants of FN and AN.","06/00/2012","08/05/1969","02/12/1978","10000",NA,"10000",NA,"10000",NA,"Rome","","Italy","",0,0,0,"",1,"US, Greece",""
230,"October 22 Circle",1969,1971,0,1,"The October 22 Circle was one of the first left-wing terrorist groups in Italy. It was based in Genoa beginning in 1969 and never expanded geographically and never attracted more than a few dozen followers. It was absorbed by Partisan Action Groups (GAP) after most of its members were arrested; GAP was in turn absorbed by the Red Brigades.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/october-22-circle","The October 22 Circle was one of the first left-wing terrorist groups in Italy. It was based in Genoa beginning in 1969 and never expanded geographically and never attracted more than a few dozen followers. It was absorbed by Partisan Action Groups (GAP) after most of its members were arrested; GAP was in turn absorbed by the Red Brigades.","06/00/2012","04/12/1970","03/26/1971","25",NA,"25",NA,"25",NA,"Genoa","","Italy","",NA,NA,NA,"",0,"","one size estimate year unknown, no designations"
231,"Partisan Action Groups",1969,1972,0,1,"GAP was one of the earliest left-wing terrorist groups in Italy. It was small and short-lived and was best-known for its leader, Giangiacomo Feltrinelli, a wealthy publisher who feared a fascist takeover of Italy and sought to recreate World War II-era communist resistance. The group ended with Feltrinelli's accidental death while planting an explosive; its remaining members were absorbed into the Red Brigades.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/partisan-action-groups","GAP was one of the earliest left-wing terrorist groups in Italy. It was small and short-lived and was best-known for its leader, Giangiacomo Feltrinelli, a wealthy publisher who feared a fascist takeover of Italy and sought to recreate World War II-era communist resistance. The group ended with Feltrinelli's accidental death while planting an explosive; its remaining members were absorbed into the Red Brigades.","06/00/2012","12/22/1970","03/14/1972",NA,NA,NA,NA,NA,NA,"Milan","","Italy","first attack location",NA,NA,NA,"",0,"",""
232,"Proletarians Armed for Communism",1977,1979,0,0,"Proletarians Armed for Communism (PAC) was one of many small armed leftist groups based in Northern Italy that sought the overthrow of the Italian state. It also advocated armed struggle against the prison system. Most of its members merged into Prima Linea (PL) after its leaders were arrested.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,"Red Brigades Fighting Communist Party",1981,1988,0,1,"The Red Brigades Fighting Communist Party (BR-PCC) was one of three main groups that split from the Red Brigades (BR), Italy's largest left-wing terrorist organization, beginning in 1980. Like the BR and its other successors, it sought to overthrow the capitalist state in Italy and replace it with a dictatorship of the proletariat, and its specific demands included Italy's withdrawal from NATO. The BR-PCC inherited the core of the BR and was the most active and successful of the BR's successors. It lasted the longest and carried out the highest-profile attacks. Like the BR and its other successors, the BR-PCC declined due to arrests, and dissolved when some of its imprisoned leaders declared the armed struggle finished.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-fighting-communist-party","The Red Brigades Fighting Communist Party (BR-PCC) was one of three main groups that split from the Red Brigades (BR), Italy's largest left-wing terrorist organization, beginning in 1980. Like the BR and its other successors, it sought to overthrow the capitalist state in Italy and replace it with a dictatorship of the proletariat, and its specific demands included Italy's withdrawal from NATO. The BR-PCC inherited the core of the BR and was the most active and successful of the BR's successors. It lasted the longest and carried out the highest-profile attacks. Like the BR and its other successors, the BR-PCC declined due to arrests, and dissolved when some of its imprisoned leaders declared the armed struggle finished.","06/00/2012","12/17/1981","04/16/1988","93",NA,"93",NA,"93",NA,"Verona","","Italy","first attack location",NA,NA,NA,"",NA,"","Missing info for desigatnion and sponsors"
234,"Red Brigades Guerrilla Party",1981,1982,0,1,"The Red Brigades Guerrilla Party (BR-PG) was the second of three main groups to split from the Red Brigades beginning in 1980. It shared with the BR and its other successors the broad goal of overthrowing the Italian state and installing a dictatorship of the proletariat. The BR-PG was the largest but shortest-lived of the BR's three main successors, lasting only a year. It was a rival of the main successor to the Red Brigades, and argued that the BR was too orthodox and too militant. Like the BR and its other successors, the BR-PG disintegrated due to arrests and some members' cooperation with authorities.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-guerrilla-party","The Red Brigades Guerrilla Party (BR-PG) was the second of three main groups to split from the Red Brigades beginning in 1980. It shared with the BR and its other successors the broad goal of overthrowing the Italian state and installing a dictatorship of the proletariat. The BR-PG was the largest but shortest-lived of the BR's three main successors, lasting only a year. It was a rival of the main successor to the Red Brigades, and argued that the BR was too orthodox and too militant. Like the BR and its other successors, the BR-PG disintegrated due to arrests and some members' cooperation with authorities.","06/00/2012","04/27/1981","10/21/1982","147","1982","147",1982,"147",1982,"Naples","","Italy","first attack location",NA,NA,NA,"",NA,"","Missing info for desigatnion and sponsors"
235,"Red Brigades Walter Alasia",1980,1983,0,1,"The Red Brigades Walter Alasia column (BR-WA) was the first of several groups that split from the Red Brigades, Italy's largest left-wing terrorist organization, beginning in 1980. It formed when the Red Brigades' Milan column split from the central authority. It targeted mostly factory managers in an effort to re-focus the Italian left on the workers' struggle. Like the BR and its other successors, the BR-WA disintegrated due to arrests, the death of some members, and arrested members' cooperation with authorities.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/red-brigades-walter-alasia","The Red Brigades Walter Alasia column (BR-WA) was the first of several groups that split from the Red Brigades, Italy's largest left-wing terrorist organization, beginning in 1980. It formed when the Red Brigades' Milan column split from the central authority. It targeted mostly factory managers in an effort to re-focus the Italian left on the workers' struggle. Like the BR and its other successors, the BR-WA disintegrated due to arrests, the death of some members, and arrested members' cooperation with authorities.","06/00/2012","11/12/1980","6/3/1981","123","1983","123",1983,"123",1983,"Milan","","Italy","first attack location",NA,NA,NA,"",NA,"","Missing info for desigatnion and sponsors"
236,"Revolutionary Action",1977,1981,0,0,"Revolutionary Action (AR) was Italy's primary anarchist terrorist group. It was organized loosely into ""affinity groups"" based on personal ties and ideological sympathy between members. Some of these groups embraced feminist objectives in addition to the group's core anarchist goals. Of the group's few attacks, most targeted Italy's major newspapers, especially the Turin daily ""La Stampa,"" as part of a planned national campaign against the media's purported manipulation of public opinion. Like most of Italy's leftist terrorist groups, AR also targeted the center-right Christian Democrat party. After the group dissolved itself in 1981, some of its members joined Prima Linea.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,"Revolutionary Action Movement",1969,1974,0,0,"Revolutionary Action Movement (MAR) was a neo-fascist Italian terrorist group active in the early 1970s. It sought to stage a fascist coup. It was led by Carlo Fumagalli, a veteran who had actually fought against the fascists in World War II and later worked for Italian and U.S. intelligence agencies. The group cooperated closely with Black Order. It dissolved when Fumagalli and several other members were arrested.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"The Compass",1969,1974,0,0,"The Compass (Rosa dei Venti, RDV) was an early neo-fascist group based in northern Italy with its headquarters in Padua. Like other militant groups on the right, it sought to overthrow the Italian state and replace it with a fascist regime, using terrorism as a tactic to cast suspicion on the left and prompt state repression. Its membership included retired officers of Mussolini's army as well as common criminals. It was also suspected of ties to Italian public figures and secret service members through the Masonic Lodge Propaganda Due. It was active for only five years before most of its leadership was arrested.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,"Third Position",1979,1981,0,0,"Third Position (TP) originated from neo-fascist groups but blended right-wing and left-wing rhetoric. TP sought the violent overthrow of the Italian government and advocated a ""fascist dictatorship of the proletariat,"" but its exact goals were unclear. The group staged terrorist attacks in addition to acting as the semi-legal political wing of Armed Revolutionary Nuclei (NAR), a right-wing group that emerged from New Order. TP ended with the arrest of several of its leaders while they were transferring weapons.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,"Union of Communist Combatants",1985,1987,0,0,"The Union of Communist Combatants (UdCC) was one of several offshoots of the Red Brigades, Italy's largest left-wing terrorist groups. The Union of Communist Combatants split from the main successor to the Red Brigades, the Red Brigades Fighting Communist Party (BR-PCC) in early 1986. The UdCC shared broad revolutionary goals with the BR and its other successors but differed with those groups over how the armed struggle should be conducted. UdCC's formation was the first split in the organization of the second half of the 1980s, and it would be the last as the Red Brigades and all of its offshoots had been broken up by law enforcement by 1988.  ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,"Armed Proletarian Nuclei",1974,1978,0,1,"Armed Proletarian Nuclei (NAP) was Southern Italy's most powerful left-wing terrorist organization in the early 1970s. NAP fought against capitalism and promoted a classless society in Italy. The group focused on prisons as the ultimate symbol of state repression and had operational cells both within and outside of prisons. It struck an alliance with the Red Brigades in 1976 and dissolved soon afterward; the Red Brigades absorbed some of its remaining members and assets.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-proletarian-nuclei","Armed Proletarian Nuclei (NAP) was Southern Italy's most powerful left-wing terrorist organization in the early 1970s. NAP fought against capitalism and promoted a classless society in Italy. The group focused on prisons as the ultimate symbol of state repression and had operational cells both within and outside of prisons. It struck an alliance with the Red Brigades in 1976 and dissolved soon afterward; the Red Brigades absorbed some of its remaining members and assets.","06/00/2012","07/25/1974","04/15/1978",NA,NA,NA,NA,NA,NA,"Naples","","Italy","",0,0,0,"",0,"",""
251,"Jemaah Islamiyah",1993,0,1,1,"Jemaah Islamiyah (JI) is an Islamist extremist organization based in Indonesia. The group seeks to establish an Islamic caliphate extending across Southeast Asia. It originated in the late 1980s and was responsible for a number of high-profile attacks that mainly targeted Christians and Western interests throughout the 1990s and early 2000s, including the 2002 Bali nightclub bombings that killed over 200. Following increased security efforts and internal splintering in the mid-2000s, JI has become less active.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/jemaah-islamiyah","Jemaah Islamiyah (JI) is an Islamist extremist organization based in Indonesia. The group seeks to establish an Islamic caliphate extending across Southeast Asia. It originated in the late 1980s and was responsible for a number of high-profile attacks that mainly targeted Christians and Western interests throughout the 1990s and early 2000s, including the 2002 Bali nightclub bombings that killed over 200. Following increased security efforts and internal splintering in the mid-2000s, JI has become less active.","06/00/2021","12/24/2000","07/17/2009","1000","2007","500",2012,"6000",2021,"Jakarta","","Indonesia","first/major attack location",1,1,1,"UK, Australia",0,"",""
255,"Caucasus Emirate",2007,0,1,1,"The Caucasus Emirate was founded in 2007 by the last President of the Republic of Ichkeria, Doku Umarov. He dissolved the Chechen Republic of Ichkeria in order to create an overarching organization, which would incorporate all the other major and small-scale terrorist groups in the North Caucasus. The Caucasus Emirate has maintained strong ties with Al Qaeda and the Taliban. They allow training camps in the North Caucasus and send fighters to train in Al Qaeda-sponsored training camps. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/caucasus-emirate","The Caucasus Emirate was founded in 2007 by the last President of the Republic of Ichkeria, Doku Umarov. He dissolved the Chechen Republic of Ichkeria in order to create an overarching organization, which would incorporate all the other major and small-scale terrorist groups in the North Caucasus. The Caucasus Emirate has maintained strong ties with Al Qaeda and the Taliban. They allow training camps in the North Caucasus and send fighters to train in Al Qaeda-sponsored training camps.","08/00/2018","06/05/2009","04/03/2014","400","2010","400",2010,"1500",2010,"","North Caucasus","Russia","",1,1,1,"Russia, UK, Canada, UAE",0,"",""
257,"Black Order",1973,1978,0,0,"Black Order was a right-wing militant group that absorbed many of the members of the major fascist militant groups that were banned in the mid-1970s. It may also have absorbed smaller right-wing militant groups such as La Fenice and Mussolini Action Squads. Like its predecessors, Black Order sought either to stage a fascist coup or provoke one through a so-called ""strategy of tension,"" in which terrorism could prompt harsh state repression. Black Order claimed two high-casualty bombings in 1974, the first at a rally in Brescia and the second on a train, which killed four and twelve people respectively.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,"Armed Revolutionary Nuclei",1977,1988,0,1,"Armed Revolutionary Nuclei (NAR) was the main right-wing terrorist group of the second half of the 1970s. It became active shortly after Italy's ""first generation"" of right-wing terrorist groups, active from the mid-1950s to the mid-1970s, dissolved with the arrest of many of their members. NAR was perhaps the most active and violent of the neo-fascist groups, carrying out a large number of individual woundings and assassinations as well as claiming responsibility for the worst terrorist bombing in Italian history, which killed 85.",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/armed-revolutionary-nuclei","Armed Revolutionary Nuclei (NAR) was the main right-wing terrorist group of the second half of the 1970s. It became active shortly after Italy's ""first generation"" of right-wing terrorist groups, active from the mid-1950s to the mid-1970s, dissolved with the arrest of many of their members. NAR was perhaps the most active and violent of the neo-fascist groups, carrying out a large number of individual woundings and assassinations as well as claiming responsibility for the worst terrorist bombing in Italian history, which killed 85.","04/00/2012","12/24/1977","08/14/1988",NA,NA,NA,NA,NA,NA,"Rome","","Italy","first attack location",0,0,0,"",0,"",""
265,"Al Jama' Al-Islamiya",1970,0,1,0,"Al Jamaa Al-Islamiya is an Egyptian Sunni Islamist movement who seeks to overthrow the Egyptian government and install a Muslim government. The group became active as an umbrella group for student militant groups in Egypt during the 1970s, seeking to restore Islam in the government. The group carried out a major terror campaign in the mid-1990s, killing more than 1,200 people in several major attacks.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,"Communists Organized for Proletarian Liberation",1981,1983,0,0,"Communists organized for Proletarian Liberation (COLP) was the larger of two groups to split from Prima Linea, the second-largest left-wing terrorist group in Italy. It had roughly 150 members and operated chiefly in Northern and Central Italy. COLP broke off when PL declined due to increasing arrests of its members. COLP aimed to free PL members and other left-wing militants from prison. It was the main successor to the PL after the PL itself dissolved, but it fell apart with the arrest of most of its members soon afterward.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,"Communist Combat Formations",1977,1979,0,0,"Communist Combat Formations (FCC) was among Italy's four largest and most active left-wing terrorist groups. It was active primarily in Northern Italy during the late 1970s. The FCC formed in Milan when members of a left-wing magazine, ""Rosso,"" decided to take up arms. The FCC shared broad revolutionary goals with other left-wing terrorist groups, the two largest being the Red Brigades (BR) and Prima Linea (PL). The chief aim of all these groups was to overthrow the state and replace it with a dictatorship of the proletariat. The FCC however grew to only slightly over a hundred members and claimed a few dozen attacks, in contrast to the BR and the PL, which claimed thousands of members and hundreds of attacks between them. The group dissolved due to arrests. Some of its members joined the BR and some gave up the armed struggle altogether.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,"Let's Take Action",1977,1979,0,0,"Let's Take Action (CA) was one of three main right-wing groups to form in and around Rome in the late 1970s. It sought the overthrow of the Italian state but was less anti-communist than its predecessors; it attempted, unsuccessfully, to build an anti-state coalition with left-wing groups. CA's main actions were forms of ""armed propaganda,"" including attacks on government buildings. CA also published a right-wing journal that aimed to provide an intellectual reference point for other right-wing groups. The group dissolved when some of its leaders were arrested.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,"Communist Combat Units",1976,1979,0,0,"Communist Combat Units (UCC) formed from a split in the Armed Communist Formations (FCA) in 1976. It lasted longer and was larger than the earlier group. It was active primarily in Northern and Central Italy between the summers of 1976 and 1977. Its chief targets were small and medium-sized enterprises, which it blamed for exploiting workers. Beginning in 1977, the group began to split up; several members joined Prima Linea while others gave up their arms altogether.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,"Communist Revolutionary Committees",1976,1978,0,0,"Communist Revolutionary Committees (CoCoRi) was an Italian left-wing terrorist group with close to a hundred members active in Northern and Central Italy, chiefly the cities of Milan, Rome, and Padua. It had a legal as well as a militant wing and embraced a number of causes and activities without a necessarily consistent theme or goal, including protesting black market labor and heroin trafficking. Like other Italian leftist terrorist organizations, it committed attacks under a variety of names. The group primarily targeted law enforcement and security personnel and committed robberies to finance itself. The group dissolved its legal wing at a conference in mid-1978. Thereafter, some members considered joining Prima Linea but dissolved the entire organization instead. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"Red Barbagia",1978,1982,0,0,"Red Barbagia (BarbRo) was a left-wing and separatist terrorist organization based on the Italian island of Sardinia. It sought to make Sardinia an independent communist state. Red Barbagia mostly attacked and killed Italian military police in line with its stated campaign against the ""militarization"" of the island. It had logistical and operational ties to the Red Brigades (BR), Italy's largest left-wing terrorist organization, and may have staged attacks on the BR's behalf. BarbRo dissolved in 1982 after a repentant former BR member led law enforcement to a BR arms cache being guarded by members of BarbRo. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,"Venetian Collectives for Worker Power",1976,1982,0,0,"Venetian Collectives for Worker Power (CPV) was a left-wing terrorist group based exclusively in the northeastern Italian region of Veneto. CPV emerged from a legal left-wing organization, Worker Power, which had dissolved in 1973. Among its chief concerns was job insecurity, which it viewed as a central feature of modern capitalism. CPV was also anti-fascist. The group was composed largely of students and attacked mostly factory and university targets, though it is also known to have attacked other targets popular on the left, such as journalists, prisons, and real estate agencies. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,"Communist Brigades",1976,1979,0,0,"The Communist Brigades (BC) were a left-wing terrorist group with nearly a hundred members active in Northern Italy. Like many other left-wing terrorist groups, it grew from legal left-wing groups. It was not so much a strict organization as a name used by militants to claim attacks. Its members embraced a variety of not necessarily connected goals, including fighting against heroin trafficking and stopping illegal work. The BC also attacked targets including law enforcement, prisons, business executives, and the center-right political party, the Christian Democrats. The group split up over members' differing opinions on how to organize the armed struggle. Some members formed the more-organized Communist Combat Formations beginning in 1977; others joined Prima Linea or other left-wing groups.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,"Communist Attack Divisions",1978,1980,0,0,"Communist Attack Divisions (RCA) was a small, left-wing group of about two dozen members active in Milan in Northern Italy. It split from the Communist Combat Formations (FCC), a larger left-wing group, in 1978. Its chief concern was the prisons, though it also at one point attacked a radio station. The group ceased to exist after most of its members were arrested beginning in 1980.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,"Communist Territorial Nuclei",1979,1980,0,0,"The Communist Territorial Nuclei (NCT) was a left-wing Italian terrorist group with a few dozen members based in Turin in Northern Italy. NCT sought to create a a proletarian army to control territory in Turin, presumably with the goal of imposing a communist system there, though it is unclear whether the group wanted Turin to secede from Italy. It committed a small number of attacks, mostly sabotage against Fiat factories. Like many Italian leftist terrorist groups, NCT was broken up by arrests, and its remaining members joined other armed organizations.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,"Nucleus of Communists",1980,1983,0,0,"Nucleus of Communists (NdC) was one of two groups, along with Communists Organized for Proletarian Liberation (COLP), to split from Prima Linea (PL), the second-largest terrorist group in Italy, as the group began to decline due to increasing arrests. NdC and COLP broke off as the PL began to decline due to increasing arrests. Like the PL, NdC's primary aim was to liberate left-wing militants from prison. The group ended when all of its members were arrested in early 1983.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,"Balochistan Liberation Army",2000,0,1,1,"The Balochistan Liberation Army (BLA) is an ethnonationalist militant organization, comprised mostly of Marri and Bugti tribe members, fighting against the Pakistani government for greater regional autonomy for the province of Balochistan. The organization was founded in 2000 and has used IEDs, mortar strikes, ethnic genocide, and small arms attacks against Pakistani government affiliates, Punjabi, and foreign workers in Balochistan. ",1,"https://cisac.fsi.stanford.edu/mappingmilitants/profiles/balochistan-liberation-army","The Balochistan Liberation Army (BLA) is an ethnonationalist militant organization, comprised mostly of¬†Marri and Bugti tribe members,¬†fighting against the Pakistani government for greater regional autonomy for the province of¬†Balochistan. The organization was founded in 2000 and has used IEDs, mortar strikes, ethnic genocide, and small arms attacks against Pakistani government affiliates, Punjabi, and foreign workers in¬†Balochistan.¬†","02/00/2019","07/22/2000","11/23/2018","1000","2011","1000",2011,"2000",2011,"","Balochistan","Pakistan","",0,0,1,"UK, Pakistan",0,"","Pakistan has accused India of supporting the BLA"
301,"Wafa Humaniatarian Organization",2001,2001,0,0,"Wafa Humaniatarian Organization, a charity based out of Pakistan, was one of the earliest charities to be banned after 9/11 for having an active relationship with Al-Qaeda. ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
